Original Sentence,Spelling Error,Grammar Error
අපේ පවුලේ සතුන් ඉතා සන්තෝසයෙන් සිටිති.,අපේ පවුලේ සතුන ඉතා සන්තෝසයෙන් සිටති.,අපේ පවුලේ සතුන් ඉතා සන්තෝසයෙන් සිටිත.
ඔහුගේ ප්‍රකාශය නිවැරදි වේ.,ඔහුගේ ප්‍රකාශය නිවරදි වේ.,ඔහුගේ ප්‍රකාශය නිවැරදි වේ.
අපි අලුත් මාර්ගය පරීක්ෂා කළෙමු.,අපි අලුත් මාර්ගය පරීක්ෂ කළෙමු.,අපි අලුත් මාර්ගය පරීක්ෂා කළෙම.
ඔබගේ නම ලේඛනයේ දැක්කාද?,ඔබගේ නම ලේඛයේ දැක්කාද?,ඔබගේ නම ලේඛනයේ දැක්කා?
ඔවුන්ගේ ජීවිත සාර්ථකයි.,ඔවුනගේ ජීවිත සාර්කයි.,ඔවුන්ගේ ජීවිත සාර්ථකයි.
මම ගෘහස්ත කාර්යය සාර්ථකව නිම කළෙමි.,මම ගහස්ත කාර්යය සාර්ථකව නිම කළෙමි.,මම ගෘහස්ත කාර්යය සාර්ථකව නිම කළෙහහ.
අද පාසල් අවසානයේ නාට්‍යයක් පැවැත්විණි.,අද පාසල් අවසානයේ නාට්‍යක් පැවැත්විණි.,අද පාසල් අවසානයේ නාට්‍යයක් පැවැත්විණි.
ඔහුගෙන් වටින අවශ්‍යතාවය ලබා ගත හැකිය.,ඔහුගෙන් වටින අවශ්‍තාවය ලබා ගත හැකිය.,ඔහුගෙන් වටින අවශ්‍යතාවය ලබා ගත හැකිය.
අපි නගරයේ ප්‍රධාන මාර්ගය හරහා ගියෙමු.,අපි නගරයේ ප්‍රධාන මාර්ගය හහා ගියෙමු.,අපි නගරයේ ප්‍රධාන මාර්ගය හරහා ගියෙම.
ඔවුන්ගේ ව්‍යාපෘතිය සාර්ථකයි.,ඔවුනගේ ව්‍යාපතිය සාර්ථකයි.,ඔවුන්ගේ ව්‍යාපෘතිය සාර්ථකය.
මේ කාර්යය ඉතා සාර්ථක විය.,මේ කාර්යය ඉත සාර්ථක විය.,මේ කාර්යය ඉතා සාර්ථක විය.
ඔවුන් නව ව්‍යාපාරයක් ආරම්භ කළහ.,ඔවුන නව ව්‍යපාරයක් ආරම්භ කළහ.,ඔවුන් නව ව්‍යාපාරයක් ආරම්භ කළෙමු.
අපි ගඟේ අසල ගොවිපොළක් පැමිණෙමු.,අපි ගඟේ අසල ගොවිපොළක් පැමිණෙමු.,අපි ගඟේ අසල ගොවිපොළක් පැමිණෙමු.
ඔහුගේ ගමන සාර්ථක විය.,ඔහුගේ ගමන සාරථක විය.,ඔහුගේ ගමන සාර්ථක විය.
අපි පසුගිය මාසයේ ගමන් කළෙමු.,අපි පසුගිය මාසයේ ගමන් කළමු.,අපි පසුගිය මාසයේ ගමන් කළෙමිමි.
ඔවුන්ගේ නායකත්වය සාර්ථකයි.,ඔවුනගේ නායකතවය සාර්ථකයි.,ඔවුන්ගේ නායකත්වය සාර්ථකයි.
මම නව කාර්යයක් ආරම්භ කළෙමි.,මම නව කාර්ක් ආරම්භ කළෙමි.,මම නව කාර්යයක් ආරම්භ කළෙමි.
ඔවුන්ගේ දායකත්වය සාර්ථකයි.,ඔවුනගේ දායකත්වය සාථකයි.,ඔවුන්ගේ දායකත්වය සාර්ථකය.
අපි අලුත් මාර්ගයක ගමන් කළෙමු.,අපි අලත් මාර්ගයක ගමන් කළෙමු.,අපි අලුත් මාර්ගයක ගමන් කළෙම.
ඔහුගේ වාර්තාව නිවැරදි වේ.,ඔහුගේ වාර්තාව නවැරදි වේ.,ඔහුගේ වාර්තාව නිවැරදි වේ.
අපේ ගමනේදී ගැටළු කිසිවක් නොතිබුණි.,අපේ ගමනදී ගැළු කිසිවක් නොතිබුණි.,අපේ ගමනේදී ගැටළු කිසිවක් නොතිබුණි.
ඔවුන් සාර්ථක ව්‍යාපාරයක් ගොඩනැගීය.,ඔවුන සාර්ක ව්‍යාපාරයක් ගොඩනැගීය.,ඔවුන් සාර්ථක ව්‍යාපාරයක් ගොඩනැගීය.
මේ කාර්යය ඉතා සාර්ථක විය.,මේ කාර්යය ඉතා සාර්ක විය.,මේ කාර්යය ඉතා සාර්ථක වි.
ඔහුගේ ජීවිතය සාර්ථකයි.,ඔහුගේ ජීතය සාර්ථකයි.,ඔහුගේ ජීවිතය සාර්ථකයි.
අපි සතුටින් සිටියෙමු.,අපි සතුටින් සිටිමු.,අපි සතුටින් සිටියෙම.
